Academy Skills
Master Alchemist level 1
Master Alchemist level 2
Master Alchemist level 3
Master Alchemist level 4
Master Alchemist level 5
Master Alchemist level 6
Master Alchemist level 7
Master Alchemist level 8
Master Alchemist level 9
Master Alchemist level 10
Master Poisoner level 1
Master Poisoner level 2
Master Poisoner level 3
Master Poisoner level 4
Master Poisoner level 5
Master Poisoner level 6
Master Poisoner level 7
Master Poisoner level 8
Master Poisoner level 9
Master Poisoner level 10
Master Potion-Maker level 1
Master Potion-Maker level 2
Master Potion-Maker level 3
Master Potion-Maker level 4
Master Potion-Maker level 5
Master Potion-Maker level 6
Master Potion-Maker level 7
Master Potion-Maker level 8
Master Potion-Maker level 9
Master Potion-Maker level 10
Master Scroll-Maker level 1
Master Scroll-Maker level 2
Master Scroll-Maker level 3
Master Scroll-Maker level 4
Master Scroll-Maker level 5
Master Scroll-Maker level 6
Master Scroll-Maker level 7
Master Scroll-Maker level 8
Master Scroll-Maker level 9
Master Scroll-Maker level 10
Alteration Mastery
Binding Mastery
Construct Mastery
Cursing Mastery
Enchantment Mastery
Identification Mastery
Necromantice Mastery
Summoning Mastery
Transformation Mastery
Master Armorsmith
Master Chef
Master Jeweler
Master Tracker
Master Weaponsmith
Battlefield Commander
Espionage: Cipher
Espionage: Counterintelligence
Espionage: Fast-Talk
Espionage: Forgery
Horsemanship
Leadership
Seamanship
Siege Engineering
